GeneSymbol	Status
EHMT1-IT1	UP
GLRA2	UP
FTX	UP
GYG2	UP
PPEF1	UP
CFAP47	UP
USP9X	UP
ZNF81	UP
ZNF41	UP
ALAS2	UP
SPIN3	UP
MTMR8	UP
KIF4A	UP
PHKA1	UP
HDAC8	UP
ERCC6L	UP
KIAA2022	UP
CENPI	UP
LINC00630	UP
DANT2	UP
DOCK11	UP
ZNF280C	UP
PHF6	UP
PRKX-AS1	UP
AMELX	UP
TLR7	UP
TLR8	UP
TCEANC	UP
FANCB	UP
NHS-AS1	UP
PHKA2-AS1	UP
SCARNA9L	UP
SCARNA23	UP
CXorf21	UP
CYBB	UP
GPR82	UP
ZNF630-AS1	UP
SUV39H1	UP
WAS	UP
KANTR	UP
MIR98	UP
SNORA11	UP
PFKFB1	UP
MTRNR2L10	UP
SNORA109	UP
UQCRBP1	UP
SPIN2A	UP
AWAT2	UP
P2RY4	UP
IL2RG	UP
XIST	UP
MIR421	UP
MIR545	UP
CYSLTR1	UP
P2RY10	UP
DIAPH2-AS1	UP
CSTF2	UP
NOX1	UP
XKRX	UP
DRP2	UP
BTK	UP
H2BFWT	UP
TBC1D8B	UP
RBM41	UP
MIR6087	UP
SNORA69	UP
NKAPP1	UP
C1GALT1C1	UP
SH2D1A	UP
SASH3	UP
ZNF75D	UP
LINC00892	UP
MIR505	UP
CDR1	UP
VMA21	UP
SNORA70	UP
UBL4A	UP
GAB3	UP
RTKN2	UP
SLC25A16	UP
KIF11	UP
FAM196A	UP
SEC61A2	UP
MCM10	UP
SUV39H2	UP
PDSS1	UP
APBB1IP	UP
CCDC7	UP
ZNF37A	UP
ZNF248	UP
LOC441666	UP
ARHGAP22	UP
WDFY4	UP
ERCC6	UP
PARG	UP
HERC4	UP
SGPL1	UP
LOC102723439	UP
KIF20B	UP
PANK1	UP
IDE	UP
HELLS	UP
ALDH18A1	UP
ZNF518A	UP
PIK3AP1	UP
ENTPD7	UP
SH3PXD2A-AS1	UP
DCLRE1A	UP
DHX32	UP
AKR1C6P	UP
PRKCQ-AS1	UP
SNORD129	UP
KIN	UP
CELF2-AS1	UP
DHTKD1	UP
MIR4480	UP
DCLRE1C	UP
TRDMT1	UP
STAM-AS1	UP
MIR603	UP
THNSL1	UP
ANKRD26	UP
MIR5586	UP
CUL2	UP
ZNF32-AS2	UP
BMS1P6	UP
PARGP1	UP
LINC01468	UP
FAM133CP	UP
CDK1	UP
MIR1296	UP
POU5F1P5	UP
DNA2	UP
SPOCK2	UP
NUDT13	UP
DNAJC9	UP
BMS1P4	UP
KCNMA1-AS1	UP
KCNMA1-AS3	UP
LINC00858	UP
KLLN	UP
IFIT1	UP
IFIT1B	UP
FLJ37201	UP
LINC01375	UP
ACSM6	UP
C10orf131	UP
FRAT1	UP
SNORA12	UP
PKD2L1	UP
SCD	UP
SLF2	UP
KCNIP2	UP
HPS6	UP
LOC101927472	UP
GPAM	UP
SNORA87	UP
TRUB1	UP
SNORA19	UP
FAM45A	UP
FAM53B-AS1	UP
LOC283038	UP
EDRF1	UP
MKI67	UP
DGAT2	UP
AMPD3	UP
PDE3B	UP
IMMP1L	UP
NOX4	UP
NLRP14	UP
TRIM66	UP
MRVI1-AS1	UP
LDHAL6A	UP
BBOX1-AS1	UP
KIF18A	UP
PTPRJ	UP
LPXN	UP
ZBTB3	UP
ATL3	UP
MALAT1	UP
POLD3	UP
LOC101928896	UP
CEP295	UP
ATM	UP
NXPE1	UP
ST3GAL4-AS1	UP
KCNJ1	UP
NCAPD3	UP
ODF3	UP
SNORA52	UP
ASCL2	UP
KCNQ1OT1	UP
SNORA54	UP
OR51E1	UP
OR52I1	UP
GVINP1	UP
ZNF215	UP
SNORA45A	UP
LOC102724784	UP
SNORA23	UP
SNORD97	UP
OTOG	UP
E2F8	UP
NAV2-AS5	UP
FANCF	UP
DEPDC7	UP
SNORD67	UP
SPI1	UP
FAM111B	UP
MPEG1	UP
MS4A6A	UP
MS4A4A	UP
MS4A1	UP
SNORA57	UP
SNORD26	UP
SNORD22	UP
POLA2	UP
NEAT1	UP
PTPRCAP	UP
MIR4691	UP
TPCN2	UP
SHANK2-AS1	UP
SHANK2-AS3	UP
LOC100129216	UP
LOC100133315	UP
KCNE3	UP
LIPT2	UP
SLCO2B1	UP
SNORD15A	UP
SNORD15B	UP
MYO7A	UP
LOC646029	UP
AQP11	UP
DDIAS	UP
TMEM126B	UP
CTSC	UP
SNORA40	UP
SCARNA9	UP
SNORA8	UP
MRE11A	UP
ANKRD49	UP
DDI1	UP
